"BRIDGE_NW_OUTER;M1x2+M2x5", "CN", "HR2:BRIDGE_NW_OUTER_M1x2+M2x5", "", "", "NW Outer Bridge Connectors"
"Pin", "Unit", "Type",      "Name", "Style", "Side"
"1",   "A",    "passive",   "NC1",  "line",  "right"
"2",   "A",    "power_out", "9V",   "line",  "right"
"3",   "B",    "output",    "LED5", "line",  "right"
"4",   "B",    "output",    "LED4", "line",  "right"
"5",   "B",    "output",    "LED6", "line",  "right"
"6",   "B",    "power_out", "5V",   "line",  "right"
"7",   "B",    "passive",   "NC2",  "line",  "right"
"8",   "B",    "output",    "TRIG", "line",  "right"
"9",   "B",    "passive",   "NC3",  "line",  "right"
"10",  "B",    "input",     "ECHO", "line",  "right"
"11",  "B",    "passive",   "NC4",  "line",  "right"
"12",  "B",    "power_out", "GND",  "line",  "right"
,,,,,,

