"SN74HCS595;TTSOP16", "U", "Package_SO:TSSOP-16_4.4x5mm_P0.65mm", "", "Tri-state 8-Bit Shift Register", "Tri-State 8-Bit Shift Register"
"Pin", "Unit", "Type",     "Name",   "Style",    "Side"
"1",   "A",    "tristate", "QB" ,    "line",     "right"
"2",   "A",    "tristate", "QC",     "line",     "right"
"3",   "A",    "tristate", "QD",     "line",     "right"
"4",   "A",    "tristate", "QE",     "line",     "right"
"5",   "A",    "tristate", "QF",     "line",     "right"
"6",   "A",    "tristate", "QG",     "line",     "right"
"7",   "A",    "tristate", "QH",     "line",     "right"
"8",   "A",    "power_in", "GND",    "line",     "right"
"9",   "A",    "tristate", "~QH",    "inverted", "right"
"10",  "A",    "input",    "~SRCLR", "inverted", "right"
"11",  "A",    "input",    "SRCLK",  "line",     "right"
"12",  "A",    "input",    "RCLK",   "line",     "right"
"13",  "A",    "input",    "~OE",    "inverted", "right"
"14",  "A",    "input",    "SER",    "line",     "right"
"15",  "A",    "tristate", "QA",     "line",     "right"
"16",  "A",    "power_in", "VCC",    "line",     "right"
,,,,,,
